t,a,m(t) at 111,mt at 99,mt at 88,mt at 77, at 111 MSE,MSE at 99,mse  at 88,mse at 77,,y-mean(y),,,,,,,
80,473,450.5666004,446.2829989,440.4131907,430.5945875,503.257416,713.7981499,1061.900142,1798.219008,,13049.63523,,,,,,,
81,473,451.104888,446.7822409,440.8624671,430.9758751,479.3959275,687.3708913,1032.821022,1766.02707,,13049.63523,,,,,,,
82,473,451.6112439,447.2513043,441.2838804,431.3326093,457.4788856,662.9953316,1005.912243,1736.171448,,13049.63523,,,,,,,
83,473,452.0874906,447.6919468,441.6790991,431.6663209,437.3330483,640.4975545,980.9988327,1708.47303,,13049.63523,,,,,,,
84,473,452.5353526,448.1058298,442.049697,431.9784498,418.8017914,619.7197085,957.9212569,1682.767579,,13049.63523,,,,,,,
85,473,452.9564613,448.4945225,442.397158,432.2703501,401.7434424,600.5184257,936.5339405,1658.904381,,13049.63523,,,,,,,
86,473,453.3523593,448.859507,442.7228809,432.5432945,386.0297831,582.7634025,916.7039413,1636.745023,,13049.63523,,,,,,,
87,475,453.7245051,449.2021824,443.028184,432.798479,452.6466843,665.5273929,1022.19702,1780.968376,,13510.57523,,,,,,,
88,475,454.0742768,449.5238693,443.3143091,433.0370274,437.8858917,649.033233,1003.983007,1760.891072,,13510.57523,,,,,,,
89,475,454.4029767,449.8258139,443.5824259,433.259995,424.2373681,633.7396454,987.0639602,1742.228015,,13510.57523,,,,,,,
90,475,454.7118349,450.1091915,443.8336358,433.468373,411.6096445,619.5523475,971.3422579,1724.87604,,13510.57523,,,,,,,
91,475,455.0020127,450.3751106,444.0689754,433.6630917,399.9194946,606.3851757,956.7282815,1708.73999,,13510.57523,,,,,,,
92,475,455.2746069,450.6246164,444.2894205,433.8450241,389.0911347,594.1593236,943.1396933,1693.732038,,13510.57523,,,,,,,
93,475,455.5306521,450.858694,444.495889,434.0149897,379.0555059,582.8026548,930.5007861,1679.771066,,13510.57523,,,,,,,
94,475,455.7711251,451.0782717,444.6892445,434.173757,369.749628,572.2490852,918.7418964,1666.782114,,13510.57523,,,,,,,
95,475,455.9969471,451.2842241,444.8702991,434.3220469,361.1160189,562.4380259,907.7988736,1654.695869,,13510.57523,,,,,,,
96,476,456.2089869,451.4773751,445.0398164,434.4605352,391.6841987,601.3591313,958.532968,1725.527136,,13744.04523,,,,,,,
97,476,456.4080639,451.6585005,445.1985141,434.5898556,383.8439611,592.5085964,948.7315323,1714.800056,,13744.04523,,,,,,,
98,476,456.5949504,451.8283308,445.3470669,434.7106022,376.555951,584.2695901,939.6023079,1704.814374,,13744.04523,,,,,,,
99,476,456.7703744,451.9875537,445.4861086,434.8233313,369.7784992,576.5975797,931.0975668,1695.518042,,13744.04523,,,,,,,
100,477,456.9350221,452.1368161,445.6162348,434.9285647,402.6033369,618.1779127,984.9407157,1770.005671,,13979.51523,,,,,,,
101,477,457.0895398,452.2767272,445.7380049,435.0267907,396.4264239,611.2402186,977.3123373,1761.750303,,13979.51523,,,,,,,
102,477,457.2345364,452.4078597,445.8519441,435.1184668,390.6735494,604.7733625,970.201384,1754.062821,,13979.51523,,,,,,,
103,478,457.3705854,452.5307526,445.9585458,435.2040216,425.5727457,648.6825608,1026.654789,1831.495765,,14216.98523,,,,,,,
104,478,457.4982268,452.6459127,446.0582729,435.2838562,420.3227055,642.8297443,1020.273933,1824.668941,,14216.98523,,,,,,,
105,478,457.6179689,452.7538163,446.15156,435.358346,415.4271924,637.3697903,1014.32313,1818.310653,,14216.98523,,,,,,,
106,479,457.7302903,452.8549116,446.2388151,435.4278426,452.4005495,683.5656489,1073.295237,1898.532902,,14456.45523,,,,,,,
107,479,457.8356415,452.9496195,446.3204208,435.4926747,447.9300701,678.622324,1067.954896,1892.887351,,14456.45523,,,,,,,
108,479,457.9344463,453.0383358,446.3967362,435.5531502,443.7575538,674.0080055,1062.97281,1887.628755,,14456.45523,,,,,,,
109,480,458.0271034,453.1214325,446.4680981,435.6095569,482.8081859,722.4573926,1124.388446,1970.511435,,14697.92523,,,,,,,
110,480,458.113988,453.1992587,446.5348223,435.6621641,478.9975232,718.2797328,1119.91812,1965.843689,,14697.92523,,,,,,,
111,481,458.1954528,453.2721428,446.597205,435.7112237,520.0473714,768.8340639,1183.552305,2051.073261,,14941.39523,,,,,,,
,,,,,mse,604.9725976,718.9274572,906.7380422,1298.755381,,128712.3252,,,,,,,
,rpe,-0.047410701,-0.057646273,-0.071523482,-0.09415546,,     ,,,,2474685.91,,,,,,,
,,,,,,67151.95833,,,,,0.027135548,,,,,,,
,358.7657658,,,,,,,,,R^2=,0.972864452,,,,,,,
